,0
2023-03-03,340182
2023-03-04,340182
2023-03-05,344724
2023-03-06,311731
2023-03-07,246969
2023-03-08,208074
2023-03-09,227312
2023-03-10,227312
2023-03-11,227312
2023-03-12,253921
2023-03-13,277643
2023-03-14,285108
2023-03-15,280148
2023-03-16,267101
2023-03-17,267101
2023-03-18,267101
2023-03-19,224604
2023-03-20,199856
2023-03-21,192910
2023-03-22,187365
2023-03-23,200926
2023-03-24,200926
2023-03-25,200926
2023-03-26,166348
2023-03-27,162758
2023-03-28,194336
2023-03-29,177692
2023-03-30,173105
2023-03-31,173105
2023-04-01,173105
2023-04-02,140347
2023-04-03,140688
2023-04-04,112965
2023-04-05,110822
2023-04-06,125004
2023-04-07,125004
2023-04-08,125004
2023-04-09,107469
2023-04-10,86554
2023-04-11,99488
2023-04-12,134890
2023-04-13,144079
2023-04-14,144079
2023-04-15,144079
2023-04-16,252552
2023-04-17,265095
2023-04-18,279942
2023-04-19,280912
2023-04-20,307101
2023-04-21,307101
2023-04-22,307101
2023-04-23,315930
2023-04-24,296209
2023-04-25,293717
2023-04-26,316381
2023-04-27,238463
2023-04-28,238463
2023-04-29,238463
2023-04-30,214882
2023-05-01,188309
2023-05-02,208666
2023-05-03,206714
2023-05-04,215133
2023-05-05,215133
2023-05-06,215133
2023-05-07,184915
2023-05-08,154808
2023-05-09,143314
2023-05-10,139944
2023-05-11,87431
2023-05-12,87431
2023-05-13,87431
2023-05-14,94629
2023-05-15,68332
2023-05-16,57341
2023-05-17,60656
2023-05-18,68335
2023-05-19,68335
2023-05-20,68335
2023-05-21,76546
2023-05-22,49473
2023-05-23,38837
2023-05-24,54493
2023-05-25,37357
2023-05-26,37357
2023-05-27,37357
2023-05-28,37357
2023-05-29,48512
2023-05-30,22892
2023-05-31,23368
2023-06-01,71218
2023-06-02,71218
2023-06-03,71218
2023-06-04,71577
2023-06-05,77500
2023-06-06,87972
2023-06-07,86001
2023-06-08,100939
2023-06-09,100939
2023-06-10,100939
2023-06-11,133059
2023-06-12,134857
2023-06-13,250417
2023-06-14,266875
2023-06-15,327925
2023-06-16,327925
2023-06-17,327925
2023-06-18,327925
2023-06-19,292106
2023-06-20,366505
2023-06-21,377384
2023-06-22,388777
2023-06-23,388777
2023-06-24,388777
2023-06-25,437999
2023-06-26,408561
2023-06-27,465122
2023-06-28,402394
2023-06-29,
